;;;Interrupt;;;;Polling;
Bez;inc;Soll;Int LB 1;Int LB 2;Int LB 11-21;Int LB 12-22;Puls LB 1;Puls LB 2
Geschwindigkeit [km/h]:;1;188.5;195.77;199.38;192.58;195.06;192.28;195.77
Geschwindigkeit [km/h]:;2;188.5;195.18;192.28;193.4;191.37;192.14;188.78
Geschwindigkeit [km/h]:;3;188.5;202.5;193.43;197.18;190.97;197.56;196.96
Geschwindigkeit [km/h]:;4;188.5;195.77;186.74;195.91;189.38;198.47;194.89
Geschwindigkeit [km/h]:;5;188.5;195.77;192.86;194.23;192.18;198.47;194.89
Geschwindigkeit [km/h]:;6;188.5;195.18;193.43;197.61;196.33;197.86;194.89
Geschwindigkeit [km/h]:;7;188.5;201.87;193.43;195.91;190.17;198.47;195.77
Geschwindigkeit [km/h]:;8;188.5;195.77;192.86;196.75;194.65;199.54;194.89
Geschwindigkeit [km/h]:;9;188.5;195.18;199.38;193.4;196.33;199.54;202.82
Geschwindigkeit [km/h]:;10;188.5;195.77;192.86;195.91;193.82;197.56;194.89
Geschwindigkeit [km/h]:;11;188.5;195.77;199.38;192.58;195.06;197.41;195.03
Geschwindigkeit [km/h]:;12;188.5;195.18;192.86;192.99;191.37;197.56;194.89
Geschwindigkeit [km/h]:;13;188.5;195.77;192.86;193.82;191.77;205.55;188.78
Geschwindigkeit [km/h]:;14;188.5;195.77;193.43;193.82;192.18;197.41;196.07
Geschwindigkeit [km/h]:;15;188.5;195.18;192.86;198.04;196.33;191.29;195.92
Geschwindigkeit [km/h]:;16;188.5;195.77;199.38;193.82;196.33;197.56;196.07
Geschwindigkeit [km/h]:;17;188.5;195.18;192.86;192.18;190.57;191.15;188.78
Geschwindigkeit [km/h]:;18;188.5;188.92;192.86;192.18;195.06;197.41;201.56
Geschwindigkeit [km/h]:;19;188.5;189.47;192.86;192.18;194.65;192.28;195.92
Geschwindigkeit [km/h]:;20;188.5;201.87;192.86;196.75;190.57;204.09;196.96
Geschwindigkeit [km/h]:;21;188.5;201.87;199.38;196.33;194.65;192.14;189.75
Geschwindigkeit [km/h]:;22;188.5;195.77;186.74;196.33;189.77;198.47;201.56
Geschwindigkeit [km/h]:;23;188.5;195.18;187.28;196.33;190.57;199.69;194.89
Geschwindigkeit [km/h]:;24;188.5;188.92;199.38;192.18;199.78;198.62;196.07
Geschwindigkeit [km/h]:;25;188.5;195.77;192.86;195.06;192.99;197.56;194.89
Geschwindigkeit [km/h]:;26;188.5;195.18;199.38;191.37;194.23;197.56;194.89
Geschwindigkeit [km/h]:;27;188.5;195.77;192.86;192.18;190.17;191.29;195.03
Geschwindigkeit [km/h]:;28;188.5;195.18;192.86;192.58;190.97;197.56;194.89
Geschwindigkeit [km/h]:;29;188.5;195.18;192.86;193.4;191.77;197.56;188.78
Geschwindigkeit [km/h]:;30;188.5;189.47;193.43;194.65;197.61;192.43;196.07
Geschwindigkeit [km/h]:;31;188.5;195.18;192.86;196.33;194.65;197.41;196.07
Geschwindigkeit [km/h]:;32;188.5;195.18;192.86;192.99;191.37;197.56;195.03
Geschwindigkeit [km/h]:;33;188.5;189.47;192.86;193.4;195.91;204.09;202.5
